date,day
2013-08-21,A
2013-08-22,B
2013-08-23,C
2013-08-26,D
2013-08-27,E
2013-08-28,F
2013-08-29,A
2013-08-30,B
2013-09-03,C
2013-09-04,D
2013-09-06,E
2013-09-09,F
2013-09-10,A
2013-09-11,B
2013-09-12,C
2013-09-13,D
2013-09-16,E
2013-09-17,F
2013-09-18,A
2013-09-19,B
2013-09-23,C
2013-09-24,D
2013-09-25,E
2013-09-26,F
2013-09-27,A
2013-09-30,B
2013-10-01,C
2013-10-02,D
2013-10-03,E
2013-10-04,F
2013-10-07,A
2013-10-08,B
2013-10-09,C
2013-10-10,D
2013-10-11,E
2013-10-15,F
2013-10-16,A
2013-10-17,B
2013-10-21,C
2013-10-22,D
2013-10-23,E
2013-10-24,F
2013-10-25,A
2013-10-28,B
2013-10-29,C
2013-10-30,D
2013-10-31,E
2013-11-01,F
2013-11-04,A
2013-11-05,B
2013-11-06,C
2013-11-07,D
2013-11-08,E
2013-11-11,F
2013-11-12,A
2013-11-13,B
2013-11-14,C
2013-11-15,D
2013-11-19,E
2013-11-20,F
2013-11-21,A
2013-11-22,B
2013-11-25,C
2013-11-26,D
2013-12-02,E
2013-12-03,F
2013-12-04,A
2013-12-05,B
2013-12-06,C
2013-12-09,D
2013-12-10,E
2013-12-11,F
2013-12-12,A
2013-12-13,B
2013-12-16,C
2013-12-17,D
2013-12-18,E
2013-12-19,F
2014-01-06,A
2014-01-07,B
2014-01-08,C
2014-01-09,D
2014-01-10,E
2014-01-13,F
2014-01-14,A
2014-01-15,B
2014-01-16,C
2014-01-17,D
2014-01-21,E
2014-01-22,F
2014-01-23,A
2014-01-24,B
2014-01-27,C
2014-01-28,D
2014-01-29,E
2014-01-30,F
2014-01-31,A
2014-02-03,B
2014-02-04,C
2014-02-05,D
2014-02-06,E
2014-02-07,F
2014-02-10,A
2014-02-11,B
2014-02-12,C
2014-02-13,D
2014-02-18,E
2014-02-19,F
2014-02-20,A
2014-02-21,B
2014-02-24,C
2014-02-25,D
2014-02-26,E
2014-02-27,F
2014-02-28,A
2014-03-03,B
2014-03-04,C
2014-03-05,D
2014-03-06,E
2014-03-07,F
2014-03-10,A
2014-03-11,B
2014-03-12,C
2014-03-13,D
2014-03-14,E
2014-04-01,F
2014-04-02,A
2014-04-03,B
2014-04-04,C
2014-04-07,D
2014-04-08,E
2014-04-09,F
2014-04-10,A
2014-04-11,B
2014-04-14,C
2014-04-15,D
2014-04-16,E
2014-04-17,F
2014-04-21,A
2014-04-22,B
2014-04-23,C
2014-04-24,D
2014-04-25,E
2014-04-28,F
2014-04-29,A
2014-04-30,B
2014-05-01,C
2014-05-02,D
2014-05-05,E
2014-05-06,F
2014-05-07,A
2014-05-08,B
2014-05-09,C
2014-05-12,D
2014-05-13,E
2014-05-14,F
2014-05-15,A
2014-05-16,B
2014-05-19,C
2014-05-20,D
2014-05-21,E
2014-05-22,F
2014-05-27,A
2014-05-28,B
2014-05-29,C
